algorithm,repair_method,mean_sharpe,std_sharpe,mean_return,mean_time,mean_generations,pop_size,mutation_rate,gaussian_stdev,num_elites,max_generations,swarm_size,max_iterations,w,c1,c2
GA,,0.7104259728405038,0.009073559607226353,9.815815705544885,34.909638261795045,51.0,200.0,0.01,0.05,2.0,50.0,,,,,
GA,,0.6290455942361133,0.029162552059299896,18.575380785609617,35.023976993560794,51.0,200.0,0.01,0.1,1.0,50.0,,,,,
GA,,0.7331888243599556,0.006983990075033046,953.2853306311512,35.3894935131073,51.0,200.0,0.01,0.01,2.0,50.0,,,,,
GA,,0.6567986782041393,0.020335450847725773,5273.999875718391,35.74508256912232,51.0,200.0,0.01,0.1,2.0,50.0,,,,,
GA,,0.6845778921834337,0.010941850749532965,0.6369030557799584,35.80737838745117,51.0,200.0,0.01,0.05,5.0,50.0,,,,,
GA,,1.089915459732053,0.028011521869385905,127.4949554250336,35.85004501342773,51.0,200.0,0.01,0.05,1.0,50.0,,,,,
GA,,0.8230638710394315,0.016446005810343476,2630.692300859683,36.21539568901062,51.0,200.0,0.01,0.01,5.0,50.0,,,,,
GA,,0.8605577583461063,0.01826724877333555,3036.0947862199964,36.25155444145203,51.0,200.0,0.01,0.01,1.0,50.0,,,,,
GA,,1.0102711547632723,0.02148006086335076,12899.365358411718,42.119002389907834,101.0,200.0,0.01,0.05,5.0,100.0,,,,,
GA,,1.083558959614615,0.014101256278756876,1118.243253471732,42.41269030570984,101.0,200.0,0.01,0.01,1.0,100.0,,,,,
GA,,0.9661875830305611,0.026442036876606727,376.113305515811,42.3484251499176,101.0,200.0,0.01,0.1,2.0,100.0,,,,,
GA,,0.7581236064916117,0.028413239016497772,37.51329776824993,42.46181106567383,101.0,200.0,0.01,0.1,1.0,100.0,,,,,
GA,,1.0143587065672182,0.005408663271412519,2974.1097896336264,42.8877191066742,101.0,200.0,0.01,0.05,2.0,100.0,,,,,
GA,,0.6867706293009517,0.007004416156208868,21.02761346268059,43.17706470489502,101.0,200.0,0.01,0.05,1.0,100.0,,,,,
GA,,0.8753173854417037,0.005895952428952955,5829.585088009726,43.458987188339236,101.0,200.0,0.01,0.01,2.0,100.0,,,,,
GA,,1.236496243226267,0.015800853952206918,153167.9092063088,43.58097472190857,101.0,200.0,0.01,0.01,5.0,100.0,,,,,
GA,,0.6727513042949667,0.002387751389279833,10.8958258857677,26.094164180755616,51.0,200.0,0.01,0.1,5.0,50.0,,,,,
GA,,0.6487742020168275,0.022295546171776513,998.0812760874669,26.03974857330322,51.0,200.0,0.05,0.01,1.0,50.0,,,,,
GA,,0.5878888367596635,0.01732178603093009,0.6617156988491817,26.280860662460327,51.0,200.0,0.05,0.01,2.0,50.0,,,,,
GA,,0.7399254433004931,0.01667775657655536,2413.4335475313915,26.429686880111696,51.0,200.0,0.05,0.01,5.0,50.0,,,,,
GA,,0.8107345398155168,0.009742650012078012,24.64727284991832,33.28231801986694,101.0,200.0,0.01,0.1,5.0,100.0,,,,,
GA,,0.6460795096004255,0.030683476353939927,6621.8631404080925,26.199311017990112,51.0,200.0,0.05,0.05,1.0,50.0,,,,,
GA,,0.8880355963941385,0.03188213500286027,407.01333810360427,26.357175159454346,51.0,200.0,0.05,0.05,2.0,50.0,,,,,
GA,,0.8644615972330219,0.03048660116463894,2733.236616195357,26.572618675231933,51.0,200.0,0.05,0.05,5.0,50.0,,,,,
GA,,0.5536081788338072,0.009445832558162974,4754.818164446777,26.1780198097229,51.0,200.0,0.05,0.1,1.0,50.0,,,,,
GA,,1.1012755113058996,0.018326469029833425,127.80292101311025,34.36663475036621,101.0,200.0,0.05,0.01,2.0,100.0,,,,,
GA,,0.6961323861091222,0.0029805059296175293,5549.124074065347,34.40412344932556,101.0,200.0,0.05,0.01,1.0,100.0,,,,,
GA,,0.8927239829293991,0.015381050240455576,2657.331315174796,34.82530150413513,101.0,200.0,0.05,0.01,5.0,100.0,,,,,
GA,,0.7329651224776714,0.03193566126075052,35.21378500881631,33.748001956939696,101.0,200.0,0.05,0.05,2.0,100.0,,,,,
GA,,0.8754895681341435,0.014340527587647431,1060.9821104790296,33.90607142448425,101.0,200.0,0.05,0.05,1.0,100.0,,,,,
GA,,0.596301912519291,0.021200061275461955,15.494489439072902,34.18966135978699,101.0,200.0,0.05,0.05,5.0,100.0,,,,,
GA,,0.8293578979373516,0.04636514330507291,142286.34826796997,34.40199613571167,101.0,200.0,0.05,0.1,1.0,100.0,,,,,
GA,,0.5278241971152976,0.015400385380075115,4.9719029145439295,26.341859579086304,51.0,200.0,0.05,0.1,2.0,50.0,,,,,
GA,,0.4796292723283272,0.019768891156970624,0.5290681105970113,26.47104229927063,51.0,200.0,0.05,0.1,5.0,50.0,,,,,
GA,,0.6128628264693583,0.013379099285244882,16.401804284391645,26.090702295303345,51.0,200.0,0.1,0.01,1.0,50.0,,,,,
GA,,0.5322147581395938,0.01836968098640038,444.77481283177286,33.71910810470581,101.0,200.0,0.05,0.1,2.0,100.0,,,,,
GA,,0.8958368384474434,0.02376765387506183,324.4103168956946,26.66092977523804,51.0,200.0,0.1,0.01,2.0,50.0,,,,,
GA,,0.5691760867142915,0.01180655249080265,1913.2689277859142,33.63781189918518,101.0,200.0,0.05,0.1,5.0,100.0,,,,,
GA,,0.6752635430963754,0.010693513770026648,5158.266199898241,26.849745130538942,51.0,200.0,0.1,0.01,5.0,50.0,,,,,
GA,,0.5734391180011194,0.014712291399072238,5444.31216037917,26.63829140663147,51.0,200.0,0.1,0.05,1.0,50.0,,,,,
GA,,0.711435263821244,0.007935529669187032,10873.847514232522,34.76413807868958,101.0,200.0,0.1,0.01,1.0,100.0,,,,,
GA,,0.6587407600168357,0.018043594007311394,32.579622567730624,26.944587087631227,51.0,200.0,0.1,0.05,2.0,50.0,,,,,
GA,,0.5146209022041325,0.027557870969460975,17.59430006546949,26.543916988372803,51.0,200.0,0.1,0.05,5.0,50.0,,,,,
GA,,0.8609203258199438,0.008557000970537262,3013.980057927845,34.89581294059754,101.0,200.0,0.1,0.01,2.0,100.0,,,,,
GA,,1.0581994373149832,0.027686271216476897,125.42142509145378,34.456062126159665,101.0,200.0,0.1,0.01,5.0,100.0,,,,,
GA,,0.7042839158397624,0.015780049840450762,1180.4855040978466,34.58968482017517,101.0,200.0,0.1,0.05,1.0,100.0,,,,,
GA,,0.8532767445808165,0.015386988402294716,1068.0014398087012,33.63234105110168,101.0,200.0,0.1,0.05,2.0,100.0,,,,,
GA,,0.8564078876955403,0.018739771250564023,121720.2343501279,34.201885080337526,101.0,200.0,0.1,0.05,5.0,100.0,,,,,
GA,,0.5000028659373671,0.011933844540773715,6.419832413591108,26.191764688491823,51.0,200.0,0.1,0.1,1.0,50.0,,,,,
GA,,0.5458968166828191,0.016228703005934594,14.01265957226856,25.326227951049805,51.0,200.0,0.1,0.1,2.0,50.0,,,,,
GA,,0.7417329008241266,0.028341514274935746,258.7994102408012,25.42241334915161,51.0,200.0,0.1,0.1,5.0,50.0,,,,,
GA,,0.7879296005984582,0.013547076378773058,5422.633580716876,24.947498273849487,51.0,200.0,0.01,0.01,1.0,50.0,,,,,
GA,,0.4617309064317158,0.01230106088345154,1.4240055136898793,32.9310845375061,101.0,200.0,0.1,0.1,1.0,100.0,,,,,
GA,,0.5014013027485917,0.009629279464875518,216.68793060604867,31.902699375152586,101.0,200.0,0.1,0.1,2.0,100.0,,,,,
GA,,0.932385036246324,0.01508221297728807,12791.844221253017,24.480454874038696,51.0,200.0,0.01,0.01,2.0,50.0,,,,,
GA,,0.7245969445616274,0.011704881705979055,27.762217171127258,24.640380907058717,51.0,200.0,0.01,0.01,5.0,50.0,,,,,
