dataset_name,pop_size,max_iterations,inertia_weight,cognitive_rate,social_rate,repair_method,seed,sharpe_ratio,convergence_history
high_10_companies,100,50,0.7,1.5,1.5,normalize,0,1.2613375826114417,"[np.float64(1.1276536554236753), np.float64(1.1647067783719425), np.float64(1.190612571284313), np.float64(1.2230787969300256), np.float64(1.2517793770629984), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417)]"
high_10_companies,100,50,0.7,1.5,1.5,normalize,1,1.2613375826114417,"[np.float64(1.1416745730825262), np.float64(1.1731970359418804), np.float64(1.2047147222723043), np.float64(1.237467755086168), np.float64(1.2560946708846554), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417)]"
high_10_companies,100,50,0.7,1.5,1.5,normalize,2,1.2613375826114417,"[np.float64(1.1239288650033343), np.float64(1.1550578145065804), np.float64(1.1882386474050721), np.float64(1.2162008349973383), np.float64(1.247713507378706), np.float64(1.2610500587104434), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417)]"
high_10_companies,100,50,0.7,1.5,1.5,normalize,3,1.2613375826114417,"[np.float64(1.1247891025209371), np.float64(1.1441256585761663), np.float64(1.179474100907805), np.float64(1.2188254675559267), np.float64(1.2528861504772184), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417)]"
high_10_companies,100,50,0.7,1.5,1.5,normalize,4,1.2613375826114417,"[np.float64(1.1253949345369025), np.float64(1.1603597701182242), np.float64(1.1967816296007192), np.float64(1.2346607929034938), np.float64(1.2486758830840845), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417)]"
high_10_companies,100,50,0.7,1.5,1.5,normalize,5,1.2613375826114417,"[np.float64(1.1297036694591935), np.float64(1.151410209970579), np.float64(1.1809914305700822), np.float64(1.220506911869403), np.float64(1.2323308068431897), np.float64(1.246329281847522), np.float64(1.260024946890424), np.float64(1.2603690353513355), np.float64(1.261332377194537), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417)]"
high_10_companies,100,50,0.7,1.5,1.5,normalize,6,1.2613375826114417,"[np.float64(1.123568083832883), np.float64(1.1703914072398278), np.float64(1.2096579051330505), np.float64(1.2431763055144076), np.float64(1.256017204425975), np.float64(1.258983755075597), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417)]"
high_10_companies,100,50,0.7,1.5,1.5,normalize,7,1.2613375826114417,"[np.float64(1.1237857859217242), np.float64(1.1494460653128957), np.float64(1.1756221919654761), np.float64(1.2105004216051158), np.float64(1.246547266643255), np.float64(1.2559131202402112), np.float64(1.2612763373240605), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417)]"
high_10_companies,100,50,0.7,1.5,1.5,normalize,8,1.2613375826114417,"[np.float64(1.1195729631725777), np.float64(1.1444200532576683), np.float64(1.1794438621420078), np.float64(1.2174033002915547), np.float64(1.2437297462184695), np.float64(1.2546074887193708), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417)]"
high_10_companies,100,50,0.7,1.5,1.5,normalize,9,1.2613375826114417,"[np.float64(1.123817501005171), np.float64(1.1552904531148136), np.float64(1.1842345452058867), np.float64(1.2164756399291625), np.float64(1.2476148522647068), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417)]"
high_10_companies,100,50,0.7,1.5,1.5,normalize,10,1.2613375826114417,"[np.float64(1.1234648798157354), np.float64(1.153303644903816), np.float64(1.1743111081940767), np.float64(1.1957187974617316), np.float64(1.233528184723097), np.float64(1.2475135293525348), np.float64(1.257194618225777), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417), np.float64(1.2613375826114417)]"
